"[0.00000000e+000 1.16066738e-311 4.45973296e-319 ... 2.12293279e-200
 1.96205092e+113 2.55172525e+151]","[ 9.36850515e-291 -4.69532366e-314  8.82112575e-252 ...  6.01346953e-154
  6.01347002e-154  6.01347002e-154]","[6.01347002e-154 4.82408878e+228 3.26630176e+131 ... 6.47272851e+170
 6.61014732e+265 5.63096753e+175]"
"['021123', 'Sao Paulo v Cruzeiro MG']",Exit position at minute 15.0 at level odds 2.17 - profit =,0.0157,2.1358333333333333,awayProfit,-0.008275,minute =,6
"['021223', 'Mgladbach v Hoffenheim']",Home lay placed at ,2.2936666666666663,Away back placed at ,2.9908333333333337,minute ,10.0
"['021223', 'Mgladbach v Hoffenheim']",Exit position at minute 32.0 at level odds 2.78 - profit =,0.1749,2.2936666666666663,awayProfit,0.01895,minute =,10
"['021223', 'Stevenage v Port Vale']",Home lay placed at ,2.0773333333333333,Away back placed at ,4.493333333333333,minute ,16.0
"['021223', 'Stevenage v Port Vale']",Exit position at minute 20.0 at level odds 2.14 - profit =,0.0293,2.0773333333333333,awayProfit,0.0053,minute =,16
"['030224', 'Girona v Real Sociedad']",Home lay placed at ,2.147,Away back placed at ,4.070666666666667,minute ,8.0
"['030224', 'Girona v Real Sociedad']",Exit position at minute 30.0 at level odds 2.26 - profit =,0.05,2.147,awayProfit,-0.02385,minute =,8
"['030224', 'Ross Co v St Johnstone']",Home lay placed at ,2.427666666666666,Away back placed at ,3.5391666666666666,minute ,6.0
"['030224', 'Ross Co v St Johnstone']",Exit position at minute 15.0 at level odds 2.54 - profit =,0.0442,2.427666666666666,awayProfit,-0.004225,minute =,6
"['030224', 'Schalke 04 v Braunschweig']",Home lay placed at ,2.0276666666666663,Away back placed at ,4.19,minute ,6.0
"['030224', 'Schalke 04 v Braunschweig']",Exit position at minute 15.0 at level odds 2.16 - profit =,0.0613,2.0276666666666663,awayProfit,0.022075,minute =,6
"['010124', 'Bristol City v Millwall']",Home lay placed at ,2.396833333333333,Away back placed at ,3.64,minute ,8.0
"['010124', 'Bristol City v Millwall']",Exit position at minute 15.0 at level odds 2.36 - profit =,-0.0156,2.396833333333333,awayProfit,-0.019625,minute =,8
"['010124', 'Bristol City v Millwall']",Home lay placed at ,2.396833333333333,Away back placed at ,3.64,minute ,8.0
"['010124', 'Bristol City v Millwall']",Exit position at minute 15.0 at level odds 2.36 - profit =,-0.0156,2.396833333333333,awayProfit,-0.019625,minute =,8
"['020923', 'Augsburg v Bochum']",Home lay placed at ,2.337333333333333,Away back placed at ,3.2225,minute ,8.0
"['020923', 'Augsburg v Bochum']",Exit position at minute 15.0 at level odds 2.4 - profit =,0.0261,2.337333333333333,awayProfit,-0.002125,minute =,8
"['020923', 'Charlton v Fleetwood Town']",Home lay placed at ,2.118,Away back placed at ,3.526666666666667,minute ,6.0
"['020923', 'Charlton v Fleetwood Town']",Exit position at minute 19.0 on away goal at odds 3.8 - profit =,0.4426,2.118,awayProfit,0.190825,minute =,6
Odds spread: ,"['020923', 'Charlton v Fleetwood Town']",2.0,2.06
"['020923', 'LA Galaxy v Houston Dynamo']",Home lay placed at ,2.313166666666666,Away back placed at ,3.54,minute ,20.0
"['020923', 'LA Galaxy v Houston Dynamo']",Exit position at minute 24.0 at level odds 2.3 - profit =,-0.0057,2.313166666666666,awayProfit,-0.004175,minute =,20
"['010124', 'Bristol City v Millwall']",Home lay placed at ,2.396833333333333,Away back placed at ,3.64,minute ,8.0
"['010124', 'Bristol City v Millwall']",Exit position at minute 15.0 at level odds 2.36 - profit =,-0.0156,2.396833333333333,awayProfit,-0.019625,minute =,8
"['020923', 'Augsburg v Bochum']",Home lay placed at ,2.337333333333333,Away back placed at ,3.2225,minute ,8.0
"['020923', 'Augsburg v Bochum']",Exit position at minute 15.0 at level odds 2.4 - profit =,0.0261,2.337333333333333,awayProfit,-0.002125,minute =,8
"['020923', 'Charlton v Fleetwood Town']",Home lay placed at ,2.118,Away back placed at ,3.526666666666667,minute ,6.0
"['020923', 'Charlton v Fleetwood Town']",Exit position at minute 19.0 on away goal at odds 3.8 - profit =,0.4426,2.118,awayProfit,0.190825,minute =,6
Odds spread: ,"['020923', 'Charlton v Fleetwood Town']",2.0,2.06
"['020923', 'LA Galaxy v Houston Dynamo']",Home lay placed at ,2.313166666666666,Away back placed at ,3.54,minute ,20.0
"['020923', 'LA Galaxy v Houston Dynamo']",Exit position at minute 24.0 at level odds 2.3 - profit =,-0.0057,2.313166666666666,awayProfit,-0.004175,minute =,20
